Código Usuario,Nombre,Dirección,Teléfono,Correo Electrónico,Fecha de Alquiler,Fecha de Entrega,Nombre de la Película/Video,Formato
"U000001,Stacy Bradley,""67188 Miranda Cove Apt. 503, Jennifertown, WA 49971"",(401)096-0674,shaun81@yahoo.com,2024-08-30,2024-12-17,Few hope,DVD"
"U000002,Anthony Bryan,""5336 Samantha Viaduct Apt. 725, South Meganton, DC 57131"",478-260-4661x65637,ginawhite@heath.net,2022-10-05,2023-05-08,Food,VHS"
"U000003,Nichole Cooper,""57122 Barber Pine, Blackwellland, MA 98423"",139-320-7865,brian27@king-green.com,2023-07-04,2024-11-01,Radio recent similar,VHS"
"U000004,Joseph Guerrero,""0599 Brad Flat Apt. 987, South Jeffrey, NM 56171"",011-015-7868x6392,samuel07@gmail.com,2022-10-17,2023-02-20,Anything official,DVD"
"U000005,Patricia Phillips,""86956 Estrada Views, East Timothy, TX 78291"",326.988.0525x70851,tammy95@bailey-lewis.com,2023-09-28,2024-10-01,Sing product,Blu-ray"
"U000006,Stephanie Taylor,""47381 Jessica Way Suite 320, New Sean, MT 10086"",001-209-252-8003x03493,krauselee@alvarez-harmon.com,2020-11-22,2021-07-06,People behavior factor,Digital"
"U000007,Dylan Carlson,""73842 Walter Walk, Amyfurt, AK 74788"",601.579.5479x7004,pughsusan@gmail.com,2022-05-30,2023-09-15,Company ready,DVD"
"U000008,Jason Mendoza,""990 Saunders Ramp Suite 647, Lake Johnberg, MS 76965"",1027114301,dbarnes@gmail.com,2023-10-07,2024-04-29,Either board statement history,DVD"
"U000009,Casey Adams,""000 Jones Rue Suite 963, New Vincent, OH 44637"",4068245759,kjohns@hotmail.com,2022-06-01,2023-11-29,News,Digital"
"U000010,David White,""30281 Michele Ridges Suite 355, Mendezton, MA 78339"",937-670-0633x061,ryan09@allen.info,2020-11-23,2023-09-08,Along near,Digital"
"U000011,Lisa Bishop,""626 Gibson Lights Apt. 336, New Mollyport, LA 13814"",+1-225-273-4224,odaniels@hotmail.com,2021-11-06,2023-12-30,Else most,Digital"
"U000012,Darlene Harris,""Unit 2920 Box 8642, DPO AP 26162"",001-384-353-6206x87304,andreawoods@gmail.com,2024-06-03,2024-10-09,Tell late your,Blu-ray"
"U000013,Terri Conner,""58103 Shannon Square, Englishborough, HI 13993"",+1-643-222-7476x85426,dmcclain@yoder-thompson.biz,2024-04-10,2024-08-13,Memory machine mean,Blu-ray"
"U000014,Melissa Richards,""370 Stacey Viaduct, North Austin, OR 69765"",001-453-886-8936x65925,ehubbard@griffith-gregory.com,2020-05-31,2022-02-16,Class firm herself feel,Blu-ray"
"U000015,Joshua Shaffer,""004 Hughes Crossing Apt. 801, Timbury, AK 09467"",(984)929-1663,wwise@burke.org,2024-10-04,2025-01-14,Newspaper trial,Blu-ray"
"U000016,Justin Smith,""05067 Gary Rapid Apt. 432, Robinsonview, OH 05150"",133-745-1787x7828,patriciahall@lewis-patton.com,2022-02-28,2023-01-17,Allow upon during bar,Digital"
"U000017,Henry Sanders,""1435 Peterson Forge, Seantown, AL 60429"",001-715-572-9768x11784,connor20@barnett.info,2022-02-01,2024-01-04,How population local,Blu-ray"
"U000018,Crystal Bowen,""06719 Joshua Pike Apt. 495, Jenniferstad, UT 21274"",548-211-7671,kathleendunn@bradshaw.biz,2024-04-01,2025-01-18,Wife community,DVD"
"U000019,Thomas Simon,""5011 Raymond Cove Apt. 223, Vegachester, SC 92707"",(022)296-3674,kaylahayes@palmer-larson.net,2021-12-31,2023-08-22,Consumer subject give,DVD"
"U000020,Matthew Gregory,""36416 Mendez Camp, East Carol, SC 22027"",539-866-3582x2593,alisonwade@hotmail.com,2022-11-24,2023-10-19,Difference respond determine loss,DVD"
"U000021,Crystal Butler,""06015 Amy Extension, Castrochester, MO 04320"",(356)555-5403x4216,scottjones@dunn-turner.org,2022-07-15,2025-01-31,South house out,VHS"
"U000022,Bonnie Payne,""1322 Ramirez Prairie Suite 962, Rodriguezville, AL 56991"",(558)929-5024,amandasalazar@sanchez.biz,2024-12-23,2025-01-10,Voice certainly important,Blu-ray"
"U000023,Amy Cohen,""8545 Spencer Flat Apt. 659, Juarezport, WA 80429"",505-170-4388x97017,riverajoshua@hotmail.com,2020-02-12,2020-04-15,Quite little off,VHS"
"U000024,Richard Carr,""399 Lisa Ridge Suite 503, North Cory, MN 58188"",001-396-980-2776x91877,lellis@gmail.com,2020-02-28,2024-06-15,Find agree develop,Blu-ray"
"U000025,Michael Smith,""7965 Phillip Divide Suite 751, Johnsonchester, NH 22794"",(286)973-4787x01980,whitemichael@hotmail.com,2024-01-12,2024-11-28,Down standard treat stand,DVD"
"U000026,Emily Morales,""9666 James Ramp, Shaneview, ID 32950"",156.819.9493,emily21@edwards.com,2022-03-31,2023-05-04,Stop number,Blu-ray"
"U000027,Sarah Chen,""165 Price Parkways, North Crystalfurt, GA 93229"",(560)082-0141,melissa59@gmail.com,2020-06-09,2024-09-01,Interest day conference,VHS"
"U000028,Travis Rivera,""2641 Gordon Divide Apt. 056, North Ariel, IN 08149"",196.823.1860,christine63@green.info,2022-08-23,2022-10-05,Begin hard,DVD"
"U000029,Jon Camacho,""05415 Brooke Oval, North Andrea, KS 48923"",(265)296-4859x837,caitlynramirez@hotmail.com,2024-11-28,2025-01-29,Nice benefit together,VHS"
"U000030,Jason Vasquez,""65300 Williams Dale Suite 296, Adamston, NC 65132"",809.454.8259x975,jonescharles@randall.com,2021-01-26,2024-01-26,Somebody wish,DVD"
"U000031,Dominique Randolph,""2471 Vargas Estates, South Garrettchester, AR 47313"",001-896-276-0049x62112,melissa44@thomas.org,2020-09-06,2020-10-15,Food morning,Digital"
"U000032,Lauren Fisher,""201 Hayes Mission, Lisaburgh, KS 67017"",001-366-673-0105x2989,cmiller@yahoo.com,2022-10-01,2023-06-10,Life effect take,Digital"
"U000033,Patrick Walsh,""31945 Ross Junctions Suite 947, New Joshua, CT 32708"",(352)840-6590x707,meredith90@hotmail.com,2023-02-05,2024-03-17,Policy,Digital"
"U000034,Thomas Nicholson,""124 Smith Ville, Briggsville, GA 62649"",001-595-268-9483,kelli68@warren.com,2024-04-16,2024-06-14,Point vote,Blu-ray"
"U000035,Julie Martin,""6626 Justin Mountains, Tammytown, ME 19068"",941.926.4503x607,newtonphillip@hotmail.com,2024-10-19,2024-12-25,Event play,DVD"
"U000036,Kevin Romero,""124 Brittany Manor, Danaborough, MD 48454"",037.341.3199,bwarren@gmail.com,2024-04-12,2024-06-11,These wind,DVD"
"U000037,Stephanie White,""56004 Tiffany Loop Apt. 539, North Kimberlyborough, NE 47063"",+1-530-807-4274x4163,ccollins@yahoo.com,2020-04-08,2021-08-08,Lay listen PM,VHS"
"U000038,Linda Barajas,""905 Harris Estate Suite 455, North Stevenstad, LA 16654"",961.574.2979x233,osmith@hotmail.com,2024-01-08,2024-08-01,Since area tree,Digital"
"U000039,Teresa Hebert,""044 Dana Landing, Rileyhaven, MN 20088"",149-115-6086x483,annadams@hotmail.com,2024-04-21,2024-06-23,Third save,VHS"
"U000040,Amy Garcia,""6585 Ashley Radial Suite 485, West Patrickbury, WV 43039"",001-106-713-0913x3940,pstevens@hays.net,2020-11-07,2021-02-13,Station box four,DVD"
"U000041,Nathan Mason,""7396 Lauren Orchard, Juliaton, NC 04082"",(894)270-3317,bennettmichael@sweeney.net,2023-06-12,2023-11-05,Scene commercial effort,Blu-ray"
"U000042,Christopher Robinson,""66119 Henry Knoll, Thomasborough, OK 05228"",(138)377-9644x0705,anthonystone@gmail.com,2024-11-02,2025-01-07,Item late cup,Blu-ray"
